1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
303	-0.269348	273.005365	0.000605	10.4
304	-0.407221	272.600712	0.006711	9.7
305	-0.234829	272.197655	0.003261	8.3
306	-0.511578	271.796184	0.001279	8.0
307	-1.322446	271.396287	0.029148	8.3
308	-0.242932	270.997956	0.001642	12.1
309	-0.675027	270.601180	0.005212	9.4
310	-1.484005	270.205949	0.023908	8.7
311	-0.904305	269.812254	0.009275	9.7
312	-1.668477	269.420085	0.025147	11.6
313	-0.343575	269.029432	0.005602	9.6
314	-1.234888	268.640287	0.021410	8.3
315	-0.783971	268.252638	0.016433	8.8
316	-0.599119	267.866478	0.006780	11.5
317	-1.414679	267.481796	0.027882	8.0
318	-1.650896	267.098584	0.028767	9.6
319	-1.286558	266.716833	0.018642	8.1
320	-1.300770	266.336533	0.023810	10.4
321	-1.122168	265.957676	0.017783	9.7
322	-1.121843	265.580253	0.016146	9.3
323	-0.670918	265.204254	0.006880	9.2
324	-0.386492	264.829672	0.011772	8.5
325	-1.338880	264.456497	0.027936	9.2
326	-1.471750	264.084721	0.015447	8.1
327	-1.651427	263.714335	0.014360	10.0
328	-0.778768	263.345332	0.009538	7.7
329	-1.297702	262.977702	0.012543	10.7
330	-1.573179	262.611438	0.012902	8.8
331	-1.430538	262.246531	0.016695	7.7
332	-0.844929	261.882973	0.011011	8.0
333	-0.735676	261.520756	0.005808	10.9
334	-1.140077	261.159871	0.013107	9.8
335	-0.455480	260.800312	0.004426	8.3
336	-1.654021	260.442070	0.021174	8.5
337	-0.650871	260.085137	0.005610	9.6
338	-1.573199	259.729505	0.022357	10.3
339	-0.483435	259.375167	0.008034	9.1
340	-0.666184	259.022116	0.002891	7.9
341	-1.566385	258.670343	0.009508	8.2
342	-1.421880	258.319841	0.016947	10.8
343	-0.872447	257.970602	0.016487	9.6
344	-1.425537	257.622620	0.012303	7.6
345	-1.533073	257.275887	0.017579	8.4
346	-0.730522	256.930396	0.011252	8.1
347	-1.472939	256.586139	0.016818	12.0
348	-0.365806	256.243109	0.008616	9.1
349	-1.318466	255.901300	0.009641	8.2
350	-0.922170	255.560703	0.006369	8.1
351	-1.208776	255.221313	0.017095	10.4
352	-1.110686	254.883122	0.013301	9.7
353	-1.048088	254.546124	0.007554	8.7
354	-1.112859	254.210311	0.010053	9.0
355	-0.726218	253.875677	0.015401	8.8
356	-0.552313	253.542215	0.013603	10.3
357	-1.368982	253.209918	0.017404	9.6
358	-0.252365	252.878781	0.003543	8.6
359	-1.392408	252.548795	0.013611	8.9
360	-0.767326	252.219956	0.009760	10.7
361	-1.399810	251.892255	0.026884	9.6
362	-0.908196	251.565688	0.009778	8.5
363	-0.626476	251.240247	0.008326	8.9
364	-1.424860	250.915926	0.012346	11.4
365	-0.931560	250.592720	0.018585	8.4
366	-0.707625	250.270621	0.005790	9.6
367	-0.728143	249.949624	0.010167	8.5
368	-1.086793	249.629723	0.013338	9.2
369	-1.536804	249.310911	0.036420	12.3
370	-1.025972	248.993182	0.016397	8.2
371	-0.660688	248.676531	0.006343	8.3
372	-0.124229	248.360952	0.002120	8.4
373	-0.233387	248.046438	0.003645	12.2
374	-1.577110	247.732984	0.024439	8.3
375	-1.028198	247.420584	0.014925	8.8
376	-1.557845	247.109233	0.010200	9.4
377	-0.064187	246.798924	0.001100	10.5
378	-0.895444	246.489652	0.011593	10.0
379	-0.415164	246.181412	0.003782	8.5
380	-1.053521	245.874197	0.014575	8.8
381	-1.627685	245.568002	0.020363	9.9
382	-0.940608	245.262822	0.014982	8.7
383	-0.635074	244.958652	0.007353	8.2
384	-1.630500	244.655485	0.015791	9.4
385	-0.809486	244.353317	0.011488	8.1
386	-0.950069	244.052142	0.010354	12.2
387	-0.484730	243.751955	0.003653	10.7
388	-0.750571	243.452750	0.010636	9.0
389	-1.609376	243.154523	0.019447	9.3
390	-1.371687	242.857268	0.015674	12.5
391	-1.363192	242.560980	0.011946	8.6
392	-1.720982	242.265654	0.027886	8.7
393	-1.710946	241.971285	0.029704	10.5
394	-1.500756	241.677868	0.023772	9.7
395	-0.510832	241.385397	0.018280	9.9
396	-0.948993	241.093869	0.014245	8.3
397	-1.285379	240.803278	0.021497	9.0
398	-1.099457	240.513619	0.021559	9.4
399	-1.464072	240.224887	0.042952	10.5
400	-0.715186	239.937077	0.010000	8.1
401	-0.825842	239.650186	0.012375	8.7
402	-0.824112	239.364207	0.010954	13.4
403	-1.370221	239.079136	0.023631	8.5
